Vurderings Id;Vitenskapelig navn;Norsk navn;Kategori;Kriterier;Latinsknavn Id;Norge/Svalbard;Ekspertgruppe;Påvirkningsfaktorer;Naturtyper,,,,,,,,,,,,
"N/102437;Melampyrum cristatum;kammarimjelle;EN;""B1a(i)b(i,ii,iii,iv,v)c(iv)+2a(i)b(i,ii,iii,iv,""v)c(iv)""""";102437;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning;"B | SM"",,,,";;;;
"N/103902;Dryopteris cristata;vasstelg;EN;""B2a(i)b(ii,iii,""iv)""""";103902;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning | Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Drenering (grøfting) | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Gjennfylling av dammer"", bekkelukking og tørrlegging";V | Fl,,,,,,,,,;;;;
"N/99730;Carex stylosa;;EN;""D1"";99730;N;Karplanter;;S | A,,,,,,,,,,,,";;;;;;;;;
"N/103663;Saxifraga opdalensis;oppdalssildre;EN;""A4(a,b,""c)""""";103663;N;Karplanter;Klimatiske endringer > Regionale > Endringer i nedbørsmengde | Klimatiske endringer > Regionale > Temperaturendring;"A"",,,,,,,,,,";;;;
"N/99418;Allium lusitanicum;kantløk;EN;""B1a(ii)b(i,ii,iii,iv,v)+2a(ii)b(i,ii,iii,iv,""v)""""";143441;N;Karplanter;"Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier"", broer, flyplasser mm.)";B,,;;;;
"N/102790;Radiola linoides;dverglin;EN;""B2a((i))b(iii,iv,""v)c(iv)""""";102790;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"F | Ky | Fl | Å | SM | Ko"",,,,,,,,,,";;;;
"N/99893;Anisantha tectorum;takfaks;EN;""B1a(i)b(iii,iv,v)+2a(i)b(iii,iv,""v)""""";99893;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"B | SM"",,,,,,,,";;;;
"N/99512;Epipactis palustris;myrflangre;EN;""B2a(i)b(ii,iii,iv,""v)""""";99512;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Oppdyrking | Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Drenering (grøfting) | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Industri/næringsutbygging;"V | Ky"",,,,,,,,,";;;;
"N/99504;Dactylorhiza majalis purpurella;purpurmarihand;EN;""B2a(i)b(ii,iii,iv,""v)";" C2a(i)""""";143614;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Lyngbrenning;"F | V | Ky"",,,,,,,,,";;;
"N/101125;Braya glabella;;EN;""A4(c)"";101125;N;Karplanter;Høsting > Flora-/faunakriminalitet | Klimatiske endringer > Regionale > Temperaturendring | Påvirkning fra stedegne arter > Påvirker habitatet (beite tråkk mm.);A,,,,,,,,,,,,";;;;;;;;;
"N/99601;Blysmus compressus;flatsivaks;EN;""B1a(ii)b(iii,v)+2a(ii)b(iii,""v)";" C1""""";99601;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Menneskelig forstyrrelse > Rekreasjon/turisme;"F | V"",,,,,,,,,,";;;
"N/100014;Elymus fibrosus;russekveke;EN;""B1a(ii)b(ii,iii,iv,v)+2a(ii)b(ii,iii,iv,""v)""""";100014;N;Karplanter;"Påvirkning på habitat > Landbruk > Jordbruk > Oppdyrking | Påvirkning på habitat > Landbruk > Buskap/dyrehold > Tråkk | Påvirkning på habitat > Landbruk > Buskap/dyrehold > Beite | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Vannløpsendring (flomhindring"", kanalisering, utretting, moloer, terskler mm.)";Fl,,;;;;
"N/103423;Rubus gothicus;svensk bjørnebær;EN;""D1"";103423;N;Karplanter;;S | Ky,,,,,,,,,,,,";;;;;;;;;
"N/99307;Luronium natans;flytegro;EN;""B1a(ii)c(iii)+2a(ii)c(iii)"";99307;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag;L,,,,,,,,,,,,";;;;;;;;;
"N/99482;Anacamptis morio;narrmarihand;EN;""C2a(i)"";99482;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;Ky | B,,,,,,,,,,,,";;;;;;;;;
"N/99976;Corynephorus canescens;sandskjegg;EN;""B1a(i,ii)b(ii,iii,iv,v)+2a(i,ii)b(ii,iii,iv,""v)""""";99976;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Oppdyrking | Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Skogplanting | Påvirkning på habitat > Landbruk > Buskap/dyrehold > Tråkk | Påvirkning på habitat > Landbruk > Buskap/dyrehold > Beite | Påvirkning på habitat > Landbruk > Jordbruk > Andre;"Ky"",,,,";;;;
"N/102422;Euphrasia confusa;heiøyentrøst;EN;""B1a(ii)b(iii)+2a(ii)b(iii)"";102422;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Lyngbrenning | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;SM,,,,,,,,,,,,";;;;;;;;;
"N/99511;Epipactis helleborine neerlandica;jærflangre;EN;""D1"";99511;N;Karplanter;Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Skogplanting | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;Ky,,,,,,,,,,,,";;;;;;;;;
"N/101599;Stellaria longipes;snøstjerneblom;EN;""B2a(ii)b(ii,iii,iv,""v)";" D1""""";101599;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;"A"",,,,,,,,,";;;
"N/103668;Saxifraga paniculata;bergjunker;EN;""B2a(i)b(ii,iii,iv,""v)""""";103668;N;Karplanter;Klimatiske endringer > Regionale > Endringer i nedbørsmengde | Klimatiske endringer > Regionale > Temperaturendring;"B | A"",,,,,,,,,";;;;
