Taxon Id;Species name;Scientific name;Species group;Category;Sightings;Landscape type;Red List Category;Red List Criterion
231764;;Hieracium linguaememorans;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
6033370;smal glattfibbla;Hieracium linophyton;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;DD;
231767;;Hieracium lividulifolium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231768;halsfibbla;Hieracium longicollum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231320;;Hieracium longidens;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231769;åsfibbla;Hieracium lophophyllum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
266283;edstafibbla;Hieracium luculentorum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;VU;D1
231770;clownfibbla;Hieracium ludificans;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;C2a(i)
231324;ludvikafibbla;Hieracium ludoviciense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv)
231325;lübecksfibbla;Hieracium luebeckii;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231326;sorgfibbla;Hieracium lugubre;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231771;;Hieracium luzuleti;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231774;knivfibbla;Hieracium machairodon;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231327;;Hieracium maciatum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231775;tofsfibbla;Hieracium macradenium;kärlväxt;Art;0;Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231328;hög randfibbla;Hieracium macrocentrum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231776;långfjällig fibbla;Hieracium macrocoelium;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231777;raggfibbla;Hieracium macromalloides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231778;tossåsfibbla;Hieracium macromallum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2a
231779;;Hieracium macrurum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
6021641;hårig kartfibbla;Hieracium maculato-ornatum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231329;;Hieracium maculatum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
231330;;Hieracium maculiferum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231780;norsk fläckfibbla;Hieracium maculosiforme;kärlväxt;Art;0;Skog (S) - Stor betydelse;EN;D
231782;meanderfibbla;Hieracium maeandrinum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231783;;Hieracium maesticolor;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231332;;Hieracium malacophyllum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231785;mjukbladig fibbla;Hieracium malaxatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231333;pälsfibbla;Hieracium mallophyllum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231786;ljus tassfibbla;Hieracium mallopodoides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231787;tassfibbla;Hieracium mallopodum;kärlväxt;Art;0;Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); C2a(i)"
231788;;Hieracium mammatidens;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231789;armfibbla;Hieracium manocolum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231790;klintefibbla;Hieracium manotrichum;kärlväxt;Art;0;Skog (S) - Stor betydelse;VU;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
231791;;Hieracium manubricatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
267089;;Hieracium marginelliceps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;EN;D
231334;;Hieracium marifugum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
266116;havsfibbla;Hieracium marinum;kärlväxt;Art;0;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;NT;D1
231335;vålåsfibbla;Hieracium mataeum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); D"
231795;;Hieracium maurostylum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231796;malmefibbla;Hieracium mediiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231797;nyckelviksfibbla;Hieracium megalotrachelum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231337;stor hagfibbla;Hieracium megavulgatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231799;högfibbla;Hieracium membrosum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231338;;Hieracium mesopoliotrichum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
