Species,IUCN
Geranium bohemicum L.,EN
Geranium divaricatum Ehrh.,NT
Geranium lucidum L.,NT
Geranium molle L.,NT
Geranium rotundifolium L.,NT
"Geum reptans L. (syn. Novosieversia reptans (L.) E. I.Golubk.)",LC
Gladiolus imbricatus L.,LC
Gladiolus palustris Gaudin,CR
Glaucium corniculatum (L.) Rudolph,CR
Glaux maritima L.,EN
Globularia cordifolia L.,NT
"Gnaphalium hoppeanum W. D. J. Koch (syn. Omalothecahoppeana (W. D. J. Koch) Sch. Bip.)",EN
Goodyera repens (L.) R. Br.,NT
Gratiola officinalis L.,LC
Groenlandia densa (L.) Fourr.,EN
Gymnadenia conopsea (L.) R. Br.,LC
Gymnadenia densiflora (Wahlenb.) A. Dietr.,NT
Gymnadenia odoratissima (L.) Rich.,NT
"Gypsophila fastigiata subsp. arenaria (Waldst. et Kit. exWilld.) Domin",EN
Gypsophila paniculata L.,VU
Gypsophila repens L.,NT
Hackelia deflexa (Wahlenb.) Opiz,VU
Hedysarum hedysaroides (L.) Schinz et Thell.,LC
Heleochloa alopecuroides (Piller et Mitterp.) Host ex Roem.,VU
Heleochloa schoenoides (L.) Host ex Roem.,VU
"Helianthemum canum (L.) Baumg. (syn. Rhodax canus (L.)Fuss)",NT
Helianthemum nummularium (L.) Mill.,NT
"Helianthemum rupifragum A. Kern. (syn. Rhodax rupifragus(A. Kern.) Holub)",NT
Heliotropium europaeum L.,NT
Helleborus purpurascens Waldst. et Kit.,NT
Herminium monorchis (L.) R. Br.,CR
Herniaria hirsuta L.,VU
Herniaria incana Lam.,CR
Hesperis matronalis L. subsp. matronalis,DD
"Hesperis matronalis subsp. candida (Kit. ex Schultzer, Kanitzet Knapp) Thell. (syn. H. matronalis subsp. nivea (Baumg.)Kulcz.)",LC
Hesperis slovaca (F. Dvořák) F. Dvořák,VU
Hesperis tristis L.,NT
Hibiscus trionum L.,LC
Hieracium austrotatricum Szełąg,VU
Hieracium glanduliferum Hoppe,RE
Hieracium krizsnae Lengyel et Zahn,RE
Hieracium mlinicae (Hruby et Zahn) Chrtek f. et Mráz,VU
Hieracium piliferum Hoppe,VU
Hieracium silesiacum Krause,VU
Hieracium slovacum Chrtek jun.,VU
Hieracium vierhapperi (Zahn) Szeląg,VU
Hierochloe australis (Schrad.) Roem. et Schult.,RE
Hierochloe repens (Host) P. Beauv.,DD
Himantoglossum adriaticum H. Baumann,EN
Himantoglossum caprinum (M. Bieb.) Spreng.,CR
"Hippocrepis emerus (L.) Lassen subsp. emerus (syn. Coronillaemerus L. subsp. emerus)",CR
