"Species","Redlist_cat","Threatened","Country"
"Carex demissa","3","yes","Austria"
"Carex diandra","2","yes","Austria"
"Carex dioica","3r!","yes","Austria"
"Carex distans","3r!","yes","Austria"
"Carex disticha","2","yes","Austria"
"Carex divisa","2","yes","Austria"
"Carex divulsa","3","yes","Austria"
"Carex elongata","3r!","yes","Austria"
"Carex fritschii","2","yes","Austria"
"Carex halleriana","4r!","yes","Austria"
"Carex hartmanii","2","yes","Austria"
"Carex heleonastes","1r!","yes","Austria"
"Carex hordeistichos","2r!","yes","Austria"
"Carex hostiana","3","yes","Austria"
"Carex lasiocarpa","2","yes","Austria"
"Carex limosa","3r!","yes","Austria"
"Carex liparocarpos","3r!","yes","Austria"
"Carex maritima","1","yes","Austria"
"Carex melanostachya","2","yes","Austria"
"Carex microglochin","2r!","yes","Austria"
"Carex otrubae","3r!","yes","Austria"
"Carex pauciflora","3r!","yes","Austria"
"Carex paupercula","3","yes","Austria"
"Carex pseudocyperus","2","yes","Austria"
"Carex pulicaris","2","yes","Austria"
"Carex punctata","2r!","yes","Austria"
"Carex randalpina","3","yes","Austria"
"Carex repens","3","yes","Austria"
"Carex riparia","3r!","yes","Austria"
"Carex secalina","2","yes","Austria"
"Carex stenophylla","3r!","yes","Austria"
"Carex strigosa","2","yes","Austria"
"Carex supina","2r!","yes","Austria"
"Carex tomentosa","3","yes","Austria"
"Carex transsilvanica","3","yes","Austria"
"Carex vaginata","3r!","yes","Austria"
"Carex vesicaria","3","yes","Austria"
"Carex vulpina","3","yes","Austria"
"Carlina biebersteinii subsp. brevibracteata","3","yes","Austria"
"Carpesium cernuum","1","yes","Austria"
"Catabrosa aquatica","1","yes","Austria"
"Caucalis platycarpos subsp. muricata","1","yes","Austria"
"Caucalis platycarpos subsp. platycarpos","3r!","yes","Austria"
"Centaurea biebersteinii","2","yes","Austria"
"Centaurea cyanus","3","yes","Austria"
"Centaurea jacea subsp. gaudinii","3","yes","Austria"
"Centaurea nigrescens subsp. nigrescens","2","yes","Austria"
"Centaurea scabiosa subsp. sadleriana","2","yes","Austria"
"Centaurea stenolepis","3","yes","Austria"
"Centaurium littorale subsp. uliginosum","3","yes","Austria"
"Centunculus minimus","2r!","yes","Austria"
"Cerastium dubium","2","yes","Austria"
"Cerastium pumilum","3","yes","Austria"
"Cerastium semidecandrum","3r!","yes","Austria"
"Cerastium sylvaticum","3","yes","Austria"
"Cerastium tenoreanum","3","yes","Austria"
