"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status"
"Gymnospermium maloi","CR","yes","Albania","Gymnospermium maloi Kit Tan & Shuka",3981693,"Gymnospermium scipetarum","Tracheophyta","species","SYNONYM"
"Gymnospermium scipetarum","CR","yes","Albania","Gymnospermium scipetarum Papar. & Qosja ex E.Mayer & Pulevic",3981693,"Gymnospermium scipetarum","Tracheophyta","species","ACCEPTED"
"Halacsya sendtneri","EN","yes","Albania","Halacsya sendtneri (Boiss.) Dörfl.",4058494,"Halacsya sendtneri","Tracheophyta","species","ACCEPTED"
"Haplophyllum boissieranum","EN","yes","Albania","Haplophyllum boissieranum Vis. & Pancic",7534075,"Haplophyllum boissieranum","Tracheophyta","species","ACCEPTED"
"Helichrysum plicatum","EN","yes","Albania","Helichrysum plicatum DC.",3131911,"Helichrysum plicatum","Tracheophyta","species","ACCEPTED"
"Heliosperma nikolicii","CR","yes","Albania","Heliosperma nikolicii (A.Seliger & Wraber) Niketic & Stevan.",7267415,"Heliosperma pusillum","Tracheophyta","species","SYNONYM"
"Herniaria parnassica","EN","yes","Albania","Herniaria parnassica Heldr. & Sart.",3594116,"Herniaria parnassica","Tracheophyta","species","ACCEPTED"
"Hippuris vulgaris","CR","yes","Albania","Hippuris vulgaris L.",5372503,"Hippuris vulgaris","Tracheophyta","species","ACCEPTED"
"Hutchinsia alpina","EN","yes","Albania","Hutchinsia alpina (L.) R.Br.",5376139,"Hornungia alpina","Tracheophyta","species","SYNONYM"
"Hydrocharis morsus-ranae","VU","yes","Albania","Hydrocharis morsus-ranae L.",5329266,"Hydrocharis morsus-ranae","Tracheophyta","species","ACCEPTED"
"Hydrocotile vulgaris","VU","yes","Albania","Hydrocotyle vulgaris L.",3034606,"Hydrocotyle vulgaris","Tracheophyta","species","ACCEPTED"
"Hyoscyamus niger","VU","yes","Albania","Hyoscyamus niger L.",2928978,"Hyoscyamus niger","Tracheophyta","species","ACCEPTED"
"Hypericum haplophylloides","CR","yes","Albania","Hypericum haplophylloides Halácsy & Bald.",7330020,"Hypericum haplophylloides","Tracheophyta","species","ACCEPTED"
"Hypericum perforatum","EN","yes","Albania","Hypericum perforatum L.",3189486,"Hypericum perforatum","Tracheophyta","species","ACCEPTED"
"Iris pseudacorus","VU","yes","Albania","Iris pseudacorus L.",5298231,"Iris pseudacorus","Tracheophyta","species","ACCEPTED"
"Jasminum fruticans","VU","yes","Albania","Jasminum fruticans L.",9556104,"Chrysojasminum fruticans","Tracheophyta","species","SYNONYM"
"Juglans regia","EN","yes","Albania","Juglans regia L.",3054368,"Juglans regia","Tracheophyta","species","ACCEPTED"
"Juniperus communis","VU","yes","Albania","Juniperus communis L.",2684709,"Juniperus communis","Tracheophyta","species","ACCEPTED"
"Juniperus excelsa","CR","yes","Albania","Juniperus excelsa M.-Bieb.",2684626,"Juniperus excelsa","Tracheophyta","species","ACCEPTED"
"Juniperus foetidissima","EN","yes","Albania","Juniperus foetidissima Willd.",2684648,"Juniperus foetidissima","Tracheophyta","species","ACCEPTED"
"Juniperus oxycedrus","VU","yes","Albania","Juniperus oxycedrus L.",2684451,"Juniperus oxycedrus","Tracheophyta","species","ACCEPTED"
"Juniperus phoenicea","EN","yes","Albania","Juniperus phoenicea L.",2684640,"Juniperus phoenicea","Tracheophyta","species","ACCEPTED"
"Laurus nobilis","EN","yes","Albania","Laurus nobilis L.",3034015,"Laurus nobilis","Tracheophyta","species","ACCEPTED"
"Leontopodium alpinum","CR","yes","Albania","Leontopodium alpinum Cass.",3140685,"Leontopodium nivale","Tracheophyta","species","SYNONYM"
"Ligusticum albanicum","CR","yes","Albania","Ligusticum albanicum Jáv.",3640295,"Ligusticum albanicum","Tracheophyta","species","ACCEPTED"
"Lilium albanicum","EN","yes","Albania","Lilium albanicum Griseb.",2753505,"Lilium albanicum","Tracheophyta","species","ACCEPTED"
"Lotus cytisoides","EN","yes","Albania","Lotus cytisoides L.",5356937,"Lotus cytisoides","Tracheophyta","species","ACCEPTED"
"Lunaria telekiana","CR","yes","Albania","Lunaria telekiana Jáv.",5373331,"Lunaria telekiana","Tracheophyta","species","ACCEPTED"
"Lycium europaeum","CR","yes","Albania","Lycium europaeum L.",3797421,"Lycium europaeum","Tracheophyta","species","ACCEPTED"
"Malcolmia bicolor","EN","yes","Albania","Malcolmia bicolor Boiss. & Heldr.",5373201,"Malcolmia graeca","Tracheophyta","species","SYNONYM"
"Malva nicaeensis","VU","yes","Albania","Malva nicaeensis All.",3152367,"Malva nicaeensis","Tracheophyta","species","ACCEPTED"
"Marsilea quadrifolia","EN","yes","Albania","Marsilea quadrifolia L.",5274875,"Marsilea quadrifolia","Tracheophyta","species","ACCEPTED"
"Matthiola tricuspidata","EN","yes","Albania","Matthiola tricuspidata (L.) R.Br.",8252834,"Matthiola tricuspidata","Tracheophyta","species","DOUBTFUL"
"Melampyrum heracleoticum","EN","yes","Albania","Melampyrum heracleoticum Boiss. & Orph.",3725632,"Melampyrum heracleoticum","Tracheophyta","species","ACCEPTED"
"Menyanthes trifoliata","CR","yes","Albania","Menyanthes trifoliata L.",5341511,"Menyanthes trifoliata","Tracheophyta","species","ACCEPTED"
"Micromeria parviflora","EN","yes","Albania","Micromeria parviflora Rchb.",5606318,"Micromeria longipedunculata","Tracheophyta","species","SYNONYM"
"Minuartia pseudosaxifraga","CR","yes","Albania","Minuartia pseudosaxifraga (Mattf.) Greuter & Burdet",7382068,"Mcneillia pseudosaxifraga","Tracheophyta","species","SYNONYM"
"Minuartia velenovskyi","CR","yes","Albania","Minuartia velenovskyi (Rohlena) Hayek",8023005,"Sabulina velenovskyi","Tracheophyta","species","SYNONYM"
"Narthecium scardicum","VU","yes","Albania","Narthecium scardicum Košanin",5602605,"Narthecium scardicum","Tracheophyta","species","ACCEPTED"
"Nerium oleander","VU","yes","Albania","Nerium oleander L.",3169756,"Nerium oleander","Tracheophyta","species","ACCEPTED"
"Nuphar lutea","VU","yes","Albania","Nuphar lutea (L.) Sibth. & Sm.",7551339,"Nuphar lutea","Tracheophyta","species","ACCEPTED"
"Nymphaea alba","VU","yes","Albania","Nymphaea alba L.",2882437,"Nymphaea alba","Tracheophyta","species","ACCEPTED"
"Nymphoides peltata","VU","yes","Albania","Nymphoides peltata (S.G.Gmel.) Kuntze",8810827,"Nymphoides peltata","Tracheophyta","species","ACCEPTED"
"Oenanthe tenuifolia","VU","yes","Albania","Oenanthe tenuifolia Boiss. & Orph.",5540270,"Oenanthe montis-khortiati","Tracheophyta","species","SYNONYM"
"Omalotheca pichleri","EN","yes","Albania","Omalotheca pichleri (Murb.) Holub",3103268,"Omalotheca roeseri","Tracheophyta","species","SYNONYM"
"Onosma mattirolii","VU","yes","Albania","Onosma mattirolii Bald.",4068119,"Onosma mattirolii","Tracheophyta","species","ACCEPTED"
"Onosma pygmaeum","CR","yes","Albania","Onosma pygmaeum Riedl",7403743,"Onosma stellulatum","Tracheophyta","species","SYNONYM"
"Ophrys spp.","VU","yes","Albania",NA,NA,NA,NA,NA,NA
"Orchis spp.","VU","yes","Albania",NA,NA,NA,NA,NA,NA
"Origanum vulgare","EN","yes","Albania","Origanum vulgare L.",2926612,"Origanum vulgare","Tracheophyta","species","ACCEPTED"
"Osmunda regalis","EN","yes","Albania","Osmunda regalis L.",8049341,"Osmunda regalis","Tracheophyta","species","ACCEPTED"
"Oxytropis purpurea","EN","yes","Albania","Oxytropis purpurea (Bald.) Markgr.",5360933,"Oxytropis purpurea","Tracheophyta","species","ACCEPTED"
"Pancratium maritimum","EN","yes","Albania","Pancratium maritimum L.",2853283,"Pancratium maritimum","Tracheophyta","species","ACCEPTED"
"Pedicularis errnesti-mayeri","EN","yes","Albania","Pedicularis ernesti-mayeri Stevan., Niketić & D.Lakušić",7331594,"Pedicularis ernesti-mayeri","Tracheophyta","species","ACCEPTED"
"Pedicularis leucodon","EN","yes","Albania","Pedicularis leucodon Griseb.",7333303,"Pedicularis leucodon","Tracheophyta","species","ACCEPTED"
"Petasites doerfleri","EN","yes","Albania","Petasites doerfleri Hayek",4238476,"Petasites doerfleri","Tracheophyta","species","ACCEPTED"
"Petrosimonia oppositifolia","CR","yes","Albania","Petrosimonia oppositifolia (Pall.) Litv.",3757664,"Petrosimonia oppositifolia","Tracheophyta","species","ACCEPTED"
